pondID,treatment,sampleID,dateSampled,D_N,zone,sampleVolume_L,amountSubSampled_mL,subSampleTotal_mL,subSampleExpansionCoef,species,organismCount,length_mm,sex,copepodite
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Diacyclops,1,0.3996,NA,T
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2956,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.1304,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.1944,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4009,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4609,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Chydorus,1,0.2051,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3969,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2743,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4431,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3695,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.199,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Diacyclops,1,0.4415,NA,F
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3418,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2998,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.5291,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Skistodiaptomus,1,0.7007,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4656,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.3748,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.4155,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.1263,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Diacyclops,1,0.5588,NA,F
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Diacyclops,1,0.3742,NA,T
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Epischura,1,0.5648,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.377,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Epischura,1,0.7205,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.1277,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.3304,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2988,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.303,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2851,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Nauplii,1,0.2046,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Leptodiaptomus,1,1.2791,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.5312,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Skistodiaptomus,1,0.8551,NA,NA
2,"unenriched, cyprinids and percids",7,7/31/2019,D,HP,8,5,250,50,Ceriodaphnia,1,0.2954,NA,NA
